city,area,bhk,price
Bangalore,1168.0,2.0,8000000.0
Bangalore,1168.0,2.0,8000000.0
Bangalore,1376.0,2.0,9300000.0
Bangalore,1168.0,2.0,7900000.0
Bangalore,1376.0,2.0,9200000.0
Bangalore,1373.0,2.0,9100000.0
Bangalore,1373.0,2.0,9000000.0
Bangalore,1168.0,2.0,7900000.0
Bangalore,1160.0,2.0,7900000.0
Bangalore,1168.0,2.0,8000000.0
Bangalore,1160.0,2.0,7800000.0
Bangalore,1373.0,2.0,9200000.0
Bangalore,1376.0,2.0,9100000.0
Bangalore,1373.0,2.0,9100000.0
Bangalore,1373.0,2.0,9000000.0
Bangalore,1168.0,2.0,7900000.0
Bangalore,1373.0,2.0,8800000.0
Bangalore,1140.0,3.0,3990000.0
Bangalore,1149.0,3.0,4021000.0
Bangalore,1168.0,3.0,4088000.0
Bangalore,1275.0,2.0,9060000.0
Bangalore,1210.0,2.0,8644000.0
Bangalore,1240.0,2.0,8836000.0
Bangalore,1450.0,3.0,10200000.0
Bangalore,1192.0,2.0,8528000.0
Bangalore,1190.0,2.0,8516000.0
Bangalore,1235.0,2.0,8804000.0
Bangalore,1400.0,3.0,9910000.0
Bangalore,1606.0,3.0,7634000.0
Bangalore,1239.0,2.0,5970000.0
Bangalore,1615.0,3.0,7675000.0
Bangalore,1180.0,2.0,5702000.0
Bangalore,1292.0,2.0,6210000.0
Bangalore,900.0,2.0,2520000.0
Bangalore,1180.0,3.0,3304000.0
Bangalore,1075.0,3.0,3010000.0
Bangalore,1000.0,2.0,2800000.0
Bangalore,880.0,2.0,2464000.0
Bangalore,1185.0,2.0,5557000.0
Bangalore,2540.0,3.0,11900000.0
Bangalore,1650.0,3.0,7738000.0
Bangalore,1355.0,2.0,6354000.0
Bangalore,600.0,1.0,2814000.0
Bangalore,1165.0,2.0,5463000.0
Bangalore,1590.0,3.0,7456999.0
Bangalore,1155.0,2.0,5416000.0
Bangalore,2495.0,3.0,11700000.0
Bangalore,1195.0,2.0,5604000.0
Bangalore,1530.0,3.0,7175000.0
Bangalore,1600.0,3.0,7504000.0
Bangalore,1200.0,2.0,5628000.0
Bangalore,884.0,2.0,5200000.0
Bangalore,884.0,2.0,5200000.0
Bangalore,1120.0,2.0,6385000.0
Bangalore,1005.0,2.0,6531999.0
Bangalore,1455.0,3.0,9457000.0
Bangalore,1390.0,3.0,9035000.0
Bangalore,1025.0,2.0,6662000.0
Bangalore,1105.0,2.0,7181999.0
Bangalore,1135.0,2.0,7377000.0
Bangalore,1425.0,3.0,7125000.0
Bangalore,1125.0,2.0,6389000.0
Bangalore,1125.0,2.0,6459000.0
Bangalore,2021.0,3.0,11800000.0
Bangalore,1971.0,3.0,11500000.0
Bangalore,1354.0,2.0,7920000.0
Bangalore,1845.0,3.0,10700000.0
Bangalore,1823.0,3.0,10600000.0
Bangalore,1447.0,2.0,8464000.0
Bangalore,1399.0,2.0,8184000.0
Bangalore,1735.0,3.0,10100000.0
Bangalore,1398.0,2.0,8178000.0
Bangalore,1940.0,3.0,11299999.0
Bangalore,1743.0,3.0,10100000.0
Bangalore,1417.0,2.0,8289000.0
Bangalore,1343.0,2.0,7856000.0
Bangalore,1411.0,2.0,8254000.0
Bangalore,1337.0,2.0,7820999.0
Bangalore,2010.0,3.0,11700000.0
Bangalore,1797.0,3.0,10500000.0
Bangalore,1768.0,3.0,10300000.0
Bangalore,990.0,2.0,4455000.0
Bangalore,1090.0,2.0,4905000.0
Bangalore,1250.0,2.0,5550000.0
Bangalore,1012.0,2.0,4500000.0
Bangalore,1630.0,3.0,13000000.0
Bangalore,1082.0,2.0,5500000.0
Bangalore,1987.0,3.0,20700000.0
Bangalore,1333.0,3.0,3999000.0
Bangalore,1174.0,3.0,3522000.0
Bangalore,958.0,2.0,2874000.0
Bangalore,1473.0,3.0,3682000.0
Bangalore,1371.0,3.0,3427000.0
Bangalore,1573.0,3.0,3932000.0
Bangalore,1529.0,3.0,3822000.0
Bangalore,995.0,2.0,2487000.0
Bangalore,1240.0,3.0,5580000.0
Bangalore,1140.0,3.0,5130000.0
Bangalore,884.0,2.0,4910000.0
Bangalore,884.0,2.0,4910000.0
Bangalore,1241.0,3.0,4342000.0
Bangalore,954.0,2.0,3338000.0
Bangalore,737.0,2.0,2578000.0
Bangalore,976.0,2.0,3415000.0
Bangalore,890.0,2.0,3114000.0
Bangalore,823.0,2.0,2879000.0
Bangalore,1282.0,3.0,4485000.0
Bangalore,893.0,2.0,3124000.0
Bangalore,1347.0,3.0,4713000.0
Bangalore,1291.0,2.0,4517000.0
Bangalore,1353.0,3.0,4734000.0
Bangalore,903.0,2.0,3159000.0
Bangalore,1206.0,3.0,4219000.0
